Home Aurelia Icon Audit (manual list, all sizes/contexts)
Root: HomeAurelia-Full-Pack/Core/HomeAurelia-Icons
Columns: path	status	px	visible_ratio	near_black_ratio	electric_blue_ratio	flags
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-music.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-pictures.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/folder-videos.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/internet-mail.png	OK	16x16	0.9492	0.1440	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/internet-web-browser.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/network-firewall.png	OK	16x16	0.9492	0.1276	0.0494	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/network-wireless.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/office-calendar.png	OK	16x16	0.9492	0.1564	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/preferences-system.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/system-settings.png	OK	16x16	0.9492	0.1605	0.0165	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/system-shutdown.png	OK	16x16	0.9492	0.1399	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/system-reboot.png	OK	16x16	0.9492	0.1564	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/system-software-install.png	OK	16x16	0.9492	0.1811	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/user-trash.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/utilities-terminal.png	OK	16x16	0.9492	0.1440	0.0206	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/user-trash-full.png	OK	16x16	0.9492	0.1770	0.0329	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/user.png	OK	16x16	0.9492	0.1728	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/text-x-generic.png	OK	16x16	0.9492	0.1481	0.0535	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/image-x-generic.png	OK	16x16	0.9492	0.1605	0.0412	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/video-x-generic.png	OK	16x16	0.9492	0.1728	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/mimetypes/start-here-kde.png	OK	16x16	0.9492	0.1852	0.0082	NO_ELECTRIC_BLUE
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/categories/accessories-calculator.png	OK	16x16	0.9492	0.1358	0.0576	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/categories/accessories-text-editor.png	OK	16x16	0.9492	0.1605	0.0247	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/categories/audio-x-generic.png	OK	16x16	0.9492	0.1523	0.0288	
HomeAurelia-Full-Pack/Core/HomeAurelia-Icons/16x16/categories/bluetooth.png	OK	16x16	0.9492	0.1523	0.0082	NO_ELECTRIC_BLUE
